PassengerId,Survived,Pclass,Sex,Age,Fare
89,1,P,female,23,263
90,0,T,male,24,8.05
91,0,T,male,29,8.05
92,0,T,male,20,7.8542
93,0,P,male,46,61.175
94,0,T,male,26,20.575
95,0,T,male,59,7.25
96,0,T,male,,8.05
97,0,P,male,71,34.6542
98,1,P,male,23,63.3583
99,1,S,female,34,23
100,0,S,male,34,26
101,0,T,female,28,7.8958
102,0,T,male,,7.8958
103,0,P,male,21,77.2875
104,0,T,male,33,8.6542
105,0,T,male,37,7.925
106,0,T,male,28,7.8958
107,1,T,female,21,7.65
108,1,T,male,,7.775
109,0,T,male,38,7.8958
110,1,T,female,,24.15
111,0,P,male,47,52
112,0,T,female,14.5,14.4542
113,0,T,male,22,8.05
114,0,T,female,20,9.825
115,0,T,female,17,14.4583
116,0,T,male,21,7.925
117,0,T,male,70.5,7.75
118,0,S,male,29,21
119,0,P,male,24,247.5208
120,0,T,female,2,31.275
121,0,S,male,21,73.5
122,0,T,male,,8.05
123,0,S,male,32.5,30.0708
124,1,S,female,32.5,13
125,0,P,male,54,77.2875
126,1,T,male,12,11.2417
127,0,T,male,,7.75
128,1,T,male,24,7.1417
129,1,T,female,,22.3583
130,0,T,male,45,6.975
131,0,T,male,33,7.8958
132,0,T,male,20,7.05
133,0,T,female,47,14.5
134,1,S,female,29,26
135,0,S,male,25,13
136,0,S,male,23,15.0458
137,1,P,female,19,26.2833
138,0,P,male,37,53.1
139,0,T,male,16,9.2167
140,0,P,male,24,79.2
141,0,T,female,,15.2458
142,1,T,female,22,7.75
143,1,T,female,24,15.85
144,0,T,male,19,6.75
145,0,S,male,18,11.5
146,0,S,male,19,36.75
147,1,T,male,27,7.7958
148,0,T,female,9,34.375
149,0,S,male,36.5,26
150,0,S,male,42,13
151,0,S,male,51,12.525
152,1,P,female,22,66.6
153,0,T,male,55.5,8.05
154,0,T,male,40.5,14.5
155,0,T,male,,7.3125
156,0,P,male,51,61.3792
157,1,T,female,16,7.7333
158,0,T,male,30,8.05
159,0,T,male,,8.6625
160,0,T,male,,69.55
161,0,T,male,44,16.1
162,1,S,female,40,15.75
163,0,T,male,26,7.775
164,0,T,male,17,8.6625
165,0,T,male,1,39.6875
166,1,T,male,9,20.525
167,1,P,female,,55
168,0,T,female,45,27.9
169,0,P,male,,25.925
170,0,T,male,28,56.4958
171,0,P,male,61,33.5
172,0,T,male,4,29.125
173,1,T,female,1,11.1333
174,0,T,male,21,7.925
175,0,P,male,56,30.6958
176,0,T,male,18,7.8542
177,0,T,male,,25.4667
178,0,P,female,50,28.7125
179,0,S,male,30,13
180,0,T,male,36,0
181,0,T,female,,69.55
182,0,S,male,,15.05
183,0,T,male,9,31.3875
184,1,S,male,1,39
185,1,T,female,4,22.025
186,0,P,male,,50
187,1,T,female,,15.5
188,1,P,male,45,26.55
189,0,T,male,40,15.5
190,0,T,male,36,7.8958
191,1,S,female,32,13
192,0,S,male,19,13
193,1,T,female,19,7.8542
194,1,S,male,3,26
195,1,P,female,44,27.7208
196,1,P,female,58,146.5208
197,0,T,male,,7.75
198,0,T,male,42,8.4042
199,1,T,female,,7.75
200,0,S,female,24,13
201,0,T,male,28,9.5
202,0,T,male,,69.55
203,0,T,male,34,6.4958
204,0,T,male,45.5,7.225
205,1,T,male,18,8.05
206,0,T,female,2,10.4625
207,0,T,male,32,15.85
208,1,T,male,26,18.7875
209,1,T,female,16,7.75
210,1,P,male,40,31
211,0,T,male,24,7.05
212,1,S,female,35,21
213,0,T,male,22,7.25
214,0,S,male,30,13
215,0,T,male,,7.75
216,1,P,female,31,113.275
217,1,T,female,27,7.925
218,0,S,male,42,27
219,1,P,female,32,76.2917
220,0,S,male,30,10.5
221,1,T,male,16,8.05
222,0,S,male,27,13
223,0,T,male,51,8.05
224,0,T,male,,7.8958
225,1,P,male,38,90
226,0,T,male,22,9.35
227,1,S,male,19,10.5
228,0,T,male,20.5,7.25
229,0,S,male,18,13
230,0,T,female,,25.4667
231,1,P,female,35,83.475
232,0,T,male,29,7.775
233,0,S,male,59,13.5
234,1,T,female,5,31.3875
235,0,S,male,24,10.5
236,0,T,female,,7.55
237,0,S,male,44,26
238,1,S,female,8,26.25
239,0,S,male,19,10.5
240,0,S,male,33,12.275
241,0,T,female,,14.4542
242,1,T,female,,15.5
243,0,S,male,29,10.5
244,0,T,male,22,7.125
245,0,T,male,30,7.225
246,0,P,male,44,90
247,0,T,female,25,7.775
248,1,S,female,24,14.5
249,1,P,male,37,52.5542
250,0,S,male,54,26
251,0,T,male,,7.25
252,0,T,female,29,10.4625
253,0,P,male,62,26.55
254,0,T,male,30,16.1
255,0,T,female,41,20.2125
256,1,T,female,29,15.2458
257,1,P,female,,79.2
258,1,P,female,30,86.5
259,1,P,female,35,512.3292
260,1,S,female,50,26
261,0,T,male,,7.75
262,1,T,male,3,31.3875
263,0,P,male,52,79.65
264,0,P,male,40,0
265,0,T,female,,7.75
266,0,S,male,36,10.5
267,0,T,male,16,39.6875
268,1,T,male,25,7.775
269,1,P,female,58,153.4625
270,1,P,female,35,135.6333
271,0,P,male,,31
272,1,T,male,25,0
273,1,S,female,41,19.5
274,0,P,male,37,29.7
275,1,T,female,,7.75
276,1,P,female,63,77.9583
277,0,T,female,45,7.75
278,0,S,male,,0
279,0,T,male,7,29.125
280,1,T,female,35,20.25
281,0,T,male,65,7.75
282,0,T,male,28,7.8542
283,0,T,male,16,9.5
284,1,T,male,19,8.05
285,0,P,male,,26
286,0,T,male,33,8.6625
287,1,T,male,30,9.5
288,0,T,male,22,7.8958
289,1,S,male,42,13
290,1,T,female,22,7.75
291,1,P,female,26,78.85
292,1,P,female,19,91.0792
293,0,S,male,36,12.875
294,0,T,female,24,8.85
295,0,T,male,24,7.8958
296,0,P,male,,27.7208
297,0,T,male,23.5,7.2292
298,0,P,female,2,151.55
299,1,P,male,,30.5
300,1,P,female,50,247.5208
301,1,T,female,,7.75
302,1,T,male,,23.25
303,0,T,male,19,0
304,1,S,female,,12.35
305,0,T,male,,8.05
306,1,P,male,0.92,151.55
307,1,P,female,,110.8833
308,1,P,female,17,108.9
309,0,S,male,30,24
310,1,P,female,30,56.9292
311,1,P,female,24,83.1583
312,1,P,female,18,262.375
313,0,S,female,26,26
314,0,T,male,28,7.8958
315,0,S,male,43,26.25
316,1,T,female,26,7.8542
317,1,S,female,24,26
318,0,S,male,54,14
319,1,P,female,31,164.8667
320,1,P,female,40,134.5
321,0,T,male,22,7.25
322,0,T,male,27,7.8958
323,1,S,female,30,12.35
324,1,S,female,22,29
325,0,T,male,,69.55
326,1,P,female,36,135.6333
327,0,T,male,61,6.2375
328,1,S,female,36,13
329,1,T,female,31,20.525
330,1,P,female,16,57.9792
331,1,T,female,,23.25
332,0,P,male,45.5,28.5
333,0,P,male,38,153.4625
334,0,T,male,16,18
335,1,P,female,,133.65
336,0,T,male,,7.8958
337,0,P,male,29,66.6
338,1,P,female,41,134.5
339,1,T,male,45,8.05
340,0,P,male,45,35.5
341,1,S,male,2,26
342,1,P,female,24,263
343,0,S,male,28,13
344,0,S,male,25,13
345,0,S,male,36,13
346,1,S,female,24,13
347,1,S,female,40,13
348,1,T,female,,16.1
349,1,T,male,3,15.9
350,0,T,male,42,8.6625
351,0,T,male,23,9.225
352,0,P,male,,35
353,0,T,male,15,7.2292
354,0,T,male,25,17.8
355,0,T,male,,7.225
356,0,T,male,28,9.5
357,1,P,female,22,55
358,0,S,female,38,13
359,1,T,female,,7.8792
360,1,T,female,,7.8792
361,0,T,male,40,27.9
362,0,S,male,29,27.7208
363,0,T,female,45,14.4542
364,0,T,male,35,7.05
365,0,T,male,,15.5
366,0,T,male,30,7.25
367,1,P,female,60,75.25
368,1,T,female,,7.2292
369,1,T,female,,7.75
370,1,P,female,24,69.3
371,1,P,male,25,55.4417
372,0,T,male,18,6.4958
373,0,T,male,19,8.05
374,0,P,male,22,135.6333
375,0,T,female,3,21.075
376,1,P,female,,82.1708
377,1,T,female,22,7.25
378,0,P,male,27,211.5
379,0,T,male,20,4.0125
380,0,T,male,19,7.775
381,1,P,female,42,227.525
382,1,T,female,1,15.7417
383,0,T,male,32,7.925
384,1,P,female,35,52
385,0,T,male,,7.8958
386,0,S,male,18,73.5
387,0,T,male,1,46.9
388,1,S,female,36,13
389,0,T,male,,7.7292
390,1,S,female,17,12
391,1,P,male,36,120
392,1,T,male,21,7.7958
393,0,T,male,28,7.925
394,1,P,female,23,113.275
395,1,T,female,24,16.7
396,0,T,male,22,7.7958
397,0,T,female,31,7.8542
398,0,S,male,46,26
399,0,S,male,23,10.5
400,1,S,female,28,12.65
401,1,T,male,39,7.925
402,0,T,male,26,8.05
403,0,T,female,21,9.825
404,0,T,male,28,15.85
405,0,T,female,20,8.6625
406,0,S,male,34,21
407,0,T,male,51,7.75
408,1,S,male,3,18.75
409,0,T,male,21,7.775
410,0,T,female,,25.4667
411,0,T,male,,7.8958
412,0,T,male,,6.8583
413,1,P,female,33,90
414,0,S,male,,0
415,1,T,male,44,7.925
416,0,T,female,,8.05
417,1,S,female,34,32.5
418,1,S,female,18,13
419,0,S,male,30,13
420,0,T,female,10,24.15
421,0,T,male,,7.8958
422,0,T,male,21,7.7333
423,0,T,male,29,7.875
424,0,T,female,28,14.4
425,0,T,male,18,20.2125
426,0,T,male,,7.25
427,1,S,female,28,26
428,1,S,female,19,26
429,0,T,male,,7.75
430,1,T,male,32,8.05
431,1,P,male,28,26.55
432,1,T,female,,16.1
433,1,S,female,42,26
434,0,T,male,17,7.125
435,0,P,male,50,55.9
436,1,P,female,14,120
437,0,T,female,21,34.375
438,1,S,female,24,18.75
439,0,P,male,64,263
440,0,S,male,31,10.5
441,1,S,female,45,26.25
442,0,T,male,20,9.5
443,0,T,male,25,7.775
444,1,S,female,28,13
445,1,T,male,,8.1125
446,1,P,male,4,81.8583
447,1,S,female,13,19.5
448,1,P,male,34,26.55
449,1,T,female,5,19.2583
450,1,P,male,52,30.5
451,0,S,male,36,27.75
452,0,T,male,,19.9667
453,0,P,male,30,27.75
454,1,P,male,49,89.1042
455,0,T,male,,8.05
456,1,T,male,29,7.8958
457,0,P,male,65,26.55
458,1,P,female,,51.8625
459,1,S,female,50,10.5
460,0,T,male,,7.75
461,1,P,male,48,26.55
462,0,T,male,34,8.05
463,0,P,male,47,38.5
464,0,S,male,48,13
465,0,T,male,,8.05
466,0,T,male,38,7.05
467,0,S,male,,0
468,0,P,male,56,26.55
469,0,T,male,,7.725
470,1,T,female,0.75,19.2583
471,0,T,male,,7.25
472,0,T,male,38,8.6625
473,1,S,female,33,27.75
474,1,S,female,23,13.7917
475,0,T,female,22,9.8375
476,0,P,male,,52
477,0,S,male,34,21
478,0,T,male,29,7.0458
479,0,T,male,22,7.5208
480,1,T,female,2,12.2875
481,0,T,male,9,46.9
482,0,S,male,,0
483,0,T,male,50,8.05
484,1,T,female,63,9.5875
485,1,P,male,25,91.0792
486,0,T,female,,25.4667
487,1,P,female,35,90
488,0,P,male,58,29.7
489,0,T,male,30,8.05
490,1,T,male,9,15.9
491,0,T,male,,19.9667
492,0,T,male,21,7.25
493,0,P,male,55,30.5
494,0,P,male,71,49.5042
495,0,T,male,21,8.05
496,0,T,male,,14.4583
497,1,P,female,54,78.2667
498,0,T,male,,15.1
499,0,P,female,25,151.55
500,0,T,male,24,7.7958
501,0,T,male,17,8.6625
502,0,T,female,21,7.75
503,0,T,female,,7.6292
504,0,T,female,37,9.5875
505,1,P,female,16,86.5
506,0,P,male,18,108.9
507,1,S,female,33,26
508,1,P,male,,26.55
509,0,T,male,28,22.525
510,1,T,male,26,56.4958
511,1,T,male,29,7.75
512,0,T,male,,8.05
513,1,P,male,36,26.2875
514,1,P,female,54,59.4
515,0,T,male,24,7.4958
516,0,P,male,47,34.0208
517,1,S,female,34,10.5
518,0,T,male,,24.15
519,1,S,female,36,26
520,0,T,male,32,7.8958
521,1,P,female,30,93.5
522,0,T,male,22,7.8958
523,0,T,male,,7.225
524,1,P,female,44,57.9792
525,0,T,male,,7.2292
526,0,T,male,40.5,7.75
527,1,S,female,50,10.5
528,0,P,male,,221.7792
529,0,T,male,39,7.925
530,0,S,male,23,11.5
531,1,S,female,2,26
532,0,T,male,,7.2292
533,0,T,male,17,7.2292
534,1,T,female,,22.3583
535,0,T,female,30,8.6625
536,1,S,female,7,26.25
537,0,P,male,45,26.55
538,1,P,female,30,106.425
539,0,T,male,,14.5
540,1,P,female,22,49.5
541,1,P,female,36,71
542,0,T,female,9,31.275
543,0,T,female,11,31.275
544,1,S,male,32,26
545,0,P,male,50,106.425
546,0,P,male,64,26
547,1,S,female,19,26
548,1,S,male,,13.8625
549,0,T,male,33,20.525
550,1,S,male,8,36.75
551,1,P,male,17,110.8833
552,0,S,male,27,26
553,0,T,male,,7.8292
554,1,T,male,22,7.225
555,1,T,female,22,7.775
556,0,P,male,62,26.55
557,1,P,female,48,39.6
558,0,P,male,,227.525
559,1,P,female,39,79.65
560,1,T,female,36,17.4
561,0,T,male,,7.75
562,0,T,male,40,7.8958
563,0,S,male,28,13.5
564,0,T,male,,8.05
565,0,T,female,,8.05
566,0,T,male,24,24.15
567,0,T,male,19,7.8958
568,0,T,female,29,21.075
569,0,T,male,,7.2292
570,1,T,male,32,7.8542
571,1,S,male,62,10.5
572,1,P,female,53,51.4792
573,1,P,male,36,26.3875
574,1,T,female,,7.75
575,0,T,male,16,8.05
576,0,T,male,19,14.5
577,1,S,female,34,13
578,1,P,female,39,55.9
579,0,T,female,,14.4583
580,1,T,male,32,7.925
581,1,S,female,25,30
582,1,P,female,39,110.8833
583,0,S,male,54,26
584,0,P,male,36,40.125
585,0,T,male,,8.7125
586,1,P,female,18,79.65
587,0,S,male,47,15
588,1,P,male,60,79.2
589,0,T,male,22,8.05
590,0,T,male,,8.05
591,0,T,male,35,7.125
592,1,P,female,52,78.2667
593,0,T,male,47,7.25
594,0,T,female,,7.75
595,0,S,male,37,26
596,0,T,male,36,24.15
597,1,S,female,,33
598,0,T,male,49,0
599,0,T,male,,7.225
600,1,P,male,49,56.9292
601,1,S,female,24,27
602,0,T,male,,7.8958
603,0,P,male,,42.4
604,0,T,male,44,8.05
605,1,P,male,35,26.55
606,0,T,male,36,15.55
607,0,T,male,30,7.8958
608,1,P,male,27,30.5
609,1,S,female,22,41.5792
610,1,P,female,40,153.4625
611,0,T,female,39,31.275
612,0,T,male,,7.05
613,1,T,female,,15.5
614,0,T,male,,7.75
615,0,T,male,35,8.05
616,1,S,female,24,65
617,0,T,male,34,14.4
618,0,T,female,26,16.1
619,1,S,female,4,39
620,0,S,male,26,10.5
621,0,T,male,27,14.4542
622,1,P,male,42,52.5542
623,1,T,male,20,15.7417
624,0,T,male,21,7.8542
625,0,T,male,21,16.1
626,0,P,male,61,32.3208
627,0,S,male,57,12.35
628,1,P,female,21,77.9583
629,0,T,male,26,7.8958
630,0,T,male,,7.7333
631,1,P,male,80,30
632,0,T,male,51,7.0542
633,1,P,male,32,30.5
634,0,P,male,,0
635,0,T,female,9,27.9
636,1,S,female,28,13
637,0,T,male,32,7.925
638,0,S,male,31,26.25
639,0,T,female,41,39.6875
640,0,T,male,,16.1
641,0,T,male,20,7.8542
642,1,P,female,24,69.3
643,0,T,female,2,27.9
644,1,T,male,,56.4958
645,1,T,female,0.75,19.2583
646,1,P,male,48,76.7292
647,0,T,male,19,7.8958
648,1,P,male,56,35.5
649,0,T,male,,7.55
650,1,T,female,23,7.55
651,0,T,male,,7.8958
652,1,S,female,18,23
653,0,T,male,21,8.4333
654,1,T,female,,7.8292
655,0,T,female,18,6.75
656,0,S,male,24,73.5
657,0,T,male,,7.8958
658,0,T,female,32,15.5
659,0,S,male,23,13
660,0,P,male,58,113.275
661,1,P,male,50,133.65
662,0,T,male,40,7.225
663,0,P,male,47,25.5875
664,0,T,male,36,7.4958
665,1,T,male,20,7.925
666,0,S,male,32,73.5
667,0,S,male,25,13
668,0,T,male,,7.775
669,0,T,male,43,8.05
670,1,P,female,,52
671,1,S,female,40,39
672,0,P,male,31,52
673,0,S,male,70,10.5
674,1,S,male,31,13
675,0,S,male,,0
676,0,T,male,18,7.775
677,0,T,male,24.5,8.05
678,1,T,female,18,9.8417
679,0,T,female,43,46.9
680,1,P,male,36,512.3292
681,0,T,female,,8.1375
682,1,P,male,27,76.7292
683,0,T,male,20,9.225
684,0,T,male,14,46.9
685,0,S,male,60,39
686,0,S,male,25,41.5792
687,0,T,male,14,39.6875
688,0,T,male,19,10.1708
689,0,T,male,18,7.7958
690,1,P,female,15,211.3375
691,1,P,male,31,57
692,1,T,female,4,13.4167
693,1,T,male,,56.4958
694,0,T,male,25,7.225
695,0,P,male,60,26.55
696,0,S,male,52,13.5
697,0,T,male,44,8.05
698,1,T,female,,7.7333
699,0,P,male,49,110.8833
700,0,T,male,42,7.65
701,1,P,female,18,227.525
702,1,P,male,35,26.2875
703,0,T,female,18,14.4542
704,0,T,male,25,7.7417
705,0,T,male,26,7.8542
706,0,S,male,39,26
707,1,S,female,45,13.5
708,1,P,male,42,26.2875
709,1,P,female,22,151.55
710,1,T,male,,15.2458
711,1,P,female,24,49.5042
712,0,P,male,,26.55
713,1,P,male,48,52
714,0,T,male,29,9.4833
715,0,S,male,52,13
716,0,T,male,19,7.65
717,1,P,female,38,227.525
718,1,S,female,27,10.5
719,0,T,male,,15.5
720,0,T,male,33,7.775
721,1,S,female,6,33
722,0,T,male,17,7.0542
723,0,S,male,34,13
724,0,S,male,50,13
725,1,P,male,27,53.1
726,0,T,male,20,8.6625
727,1,S,female,30,21
728,1,T,female,,7.7375
729,0,S,male,25,26
730,0,T,female,25,7.925
731,1,P,female,29,211.3375
732,0,T,male,11,18.7875
733,0,S,male,,0
734,0,S,male,23,13
735,0,S,male,23,13
736,0,T,male,28.5,16.1
737,0,T,female,48,34.375
738,1,P,male,35,512.3292
739,0,T,male,,7.8958
740,0,T,male,,7.8958
741,1,P,male,,30
742,0,P,male,36,78.85
743,1,P,female,21,262.375
744,0,T,male,24,16.1
745,1,T,male,31,7.925
746,0,P,male,70,71
747,0,T,male,16,20.25
748,1,S,female,30,13
749,0,P,male,19,53.1
750,0,T,male,31,7.75
751,1,S,female,4,23
752,1,T,male,6,12.475
753,0,T,male,33,9.5
754,0,T,male,23,7.8958
755,1,S,female,48,65
756,1,S,male,0.67,14.5
757,0,T,male,28,7.7958
758,0,S,male,18,11.5
759,0,T,male,34,8.05
760,1,P,female,33,86.5
761,0,T,male,,14.5
762,0,T,male,41,7.125
763,1,T,male,20,7.2292
764,1,P,female,36,120
765,0,T,male,16,7.775
766,1,P,female,51,77.9583
767,0,P,male,,39.6
768,0,T,female,30.5,7.75
769,0,T,male,,24.15
770,0,T,male,32,8.3625
771,0,T,male,24,9.5
772,0,T,male,48,7.8542
773,0,S,female,57,10.5
774,0,T,male,,7.225
775,1,S,female,54,23
776,0,T,male,18,7.75
777,0,T,male,,7.75
778,1,T,female,5,12.475
779,0,T,male,,7.7375
780,1,P,female,43,211.3375
781,1,T,female,13,7.2292
782,1,P,female,17,57
783,0,P,male,29,30
784,0,T,male,,23.45
785,0,T,male,25,7.05
786,0,T,male,25,7.25
787,1,T,female,18,7.4958
788,0,T,male,8,29.125
789,1,T,male,1,20.575
790,0,P,male,46,79.2
791,0,T,male,,7.75
792,0,S,male,16,26
793,0,T,female,,69.55
794,0,P,male,,30.6958
795,0,T,male,25,7.8958
796,0,S,male,39,13
797,1,P,female,49,25.9292
798,1,T,female,31,8.6833
799,0,T,male,30,7.2292
800,0,T,female,30,24.15
801,0,S,male,34,13
802,1,S,female,31,26.25
803,1,P,male,11,120
804,1,T,male,0.42,8.5167
805,1,T,male,27,6.975
806,0,T,male,31,7.775
807,0,P,male,39,0
808,0,T,female,18,7.775
809,0,S,male,39,13
810,1,P,female,33,53.1
811,0,T,male,26,7.8875
812,0,T,male,39,24.15
813,0,S,male,35,10.5
814,0,T,female,6,31.275
815,0,T,male,30.5,8.05
816,0,P,male,,0
817,0,T,female,23,7.925
818,0,S,male,31,37.0042
819,0,T,male,43,6.45
820,0,T,male,10,27.9
821,1,P,female,52,93.5
822,1,T,male,27,8.6625
823,0,P,male,38,0
824,1,T,female,27,12.475
825,0,T,male,2,39.6875
826,0,T,male,,6.95
827,0,T,male,,56.4958
828,1,S,male,1,37.0042
829,1,T,male,,7.75
830,1,P,female,62,80
831,1,T,female,15,14.4542
832,1,S,male,0.83,18.75
833,0,T,male,,7.2292
834,0,T,male,23,7.8542
835,0,T,male,18,8.3
836,1,P,female,39,83.1583
837,0,T,male,21,8.6625
838,0,T,male,,8.05
839,1,T,male,32,56.4958
840,1,P,male,,29.7
841,0,T,male,20,7.925
842,0,S,male,16,10.5
843,1,P,female,30,31
844,0,T,male,34.5,6.4375
845,0,T,male,17,8.6625
846,0,T,male,42,7.55
847,0,T,male,,69.55
848,0,T,male,35,7.8958
849,0,S,male,28,33
850,1,P,female,,89.1042
851,0,T,male,4,31.275
852,0,T,male,74,7.775
853,0,T,female,9,15.2458
854,1,P,female,16,39.4
855,0,S,female,44,26
856,1,T,female,18,9.35
857,1,P,female,45,164.8667
858,1,P,male,51,26.55
859,1,T,female,24,19.2583
860,0,T,male,,7.2292
861,0,T,male,41,14.1083
862,0,S,male,21,11.5
863,1,P,female,48,25.9292
864,0,T,female,,69.55
865,0,S,male,24,13
866,1,S,female,42,13
867,1,S,female,27,13.8583
868,0,P,male,31,50.4958
869,0,T,male,,9.5
870,1,T,male,4,11.1333
871,0,T,male,26,7.8958
872,1,P,female,47,52.5542
873,0,P,male,33,5
874,0,T,male,47,9
875,1,S,female,28,24
876,1,T,female,15,7.225
877,0,T,male,20,9.8458
878,0,T,male,19,7.8958
879,0,T,male,,7.8958
880,1,P,female,56,83.1583
881,1,S,female,25,26
882,0,T,male,33,7.8958
883,0,T,female,22,10.5167
884,0,S,male,28,10.5
885,0,T,male,25,7.05
886,0,T,female,39,29.125
887,0,S,male,27,13
888,1,P,female,19,30
889,0,T,female,,23.45
890,1,P,male,26,30
891,0,T,male,32,7.75
